video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
31190,568,"Arthropoda stet.","Fauna > Arthropoda stet.",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1702.37,627.03]]",[982.861083],31199,"2025-02-19 12:42:18","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31191,568,"Arthropoda stet.","Fauna > Arthropoda stet.",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1652.14,485.73]]",[982.861083],31200,"2025-02-19 12:42:19","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31192,714,"VME Porifera fan/stalk/cup/funnel <10 cm","VME sponge > VME Porifera fan/stalk/cup/funnel <10 cm",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[701.25,760.29]]",[985.604427],31201,"2025-02-19 12:45:09","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31193,365,"Bonelliidae stet.","Fauna > Bonelliidae stet.",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[530.49,801.13]]",[985.604427],31202,"2025-02-19 12:45:15","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31194,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[621.56,560.73]]",[983.176612],31203,"2025-02-19 12:46:07","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31195,362,near-vertical,"Slope category > near-vertical",1,Birte,Schuppe,55,anevik_1_11.mp4,7,WholeFrame,[],[990.174058],31204,"2025-02-19 12:46:47","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31196,307,"Exposed bedrock","Substrate > Exposed bedrock",1,Birte,Schuppe,55,anevik_1_11.mp4,7,WholeFrame,[],[990.174058],31205,"2025-02-19 12:47:05","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31197,322,"Laser points","Laser points",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[754.82,750.24]]",[990.174058],31206,"2025-02-19 12:47:12","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31198,322,"Laser points","Laser points",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[776.92,727.47]]",[990.174058],31207,"2025-02-19 12:47:13","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31199,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1567.1,673.9]]",[991.286672],31208,"2025-02-19 12:48:56","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
