datetime,videotime,lon,lat,depth,elapsed_seconds,xsmoothed,ysmoothed,depthsmoothed,LON2,LAT2,DEPTH2,videotime_interpolated
2021-01-07T10:19:40Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271085827828885,8.000062899458628,113.34916635686993,2913
2021-01-07T10:19:41Z,00:48:36,5.27107217,8.000065,113.3,2914,5.271079138680494,8.0000630437685345,113.37417373299796,5.271079138680494,8.0000630437685345,113.37417373299796,2914
2021-01-07T10:19:42Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271072344453202,8.000063169163314,113.39806921204804,2915
2021-01-07T10:19:43Z,00:48:40,5.271052,8.00006417,113.2,2916,5.271065456066612,8.000063274647706,113.42081001026561,5.271065456066612,8.000063274647706,113.42081001026561,2916
2021-01-07T10:19:44Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271058484440318,8.000063359226413,113.44235334389577,2917
2021-01-07T10:19:45Z,00:48:42,5.27104467,8.00006383,113.5,2918,5.271051440493936,8.000063421904143,113.46265642918443,5.271051440493936,8.000063421904143,113.46265642918443,2918
2021-01-07T10:19:46Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271044335147085,8.000063461685617,113.48167648237695,2919
2021-01-07T10:19:47Z,00:48:44,5.27104033,8.000064,113.5,2920,5.271037179319343,8.000063477575544,113.4993707197185,5.271037179319343,8.000063477575544,113.4993707197185,2920
2021-01-07T10:19:48Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271029983930338,8.00006346857867,113.5156963574552,2921
2021-01-07T10:19:49Z,00:48:46,5.27103283,8.00006433,113.5,2922,5.271022759899678,8.000063433699658,113.53061061183173,5.271022759899678,8.000063433699658,113.53061061183173,2922
2021-01-07T10:19:50Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271015518146956,8.000063371943257,113.54407069909443,2923
2021-01-07T10:19:51Z,00:48:47,5.271026,8.000064,113.5,2924,5.271008269591792,8.00006328231421,113.55603383548801,5.271008269591792,8.00006328231421,113.55603383548801,2924
2021-01-07T10:19:52Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271001025153773,8.000063163817163,113.56645723725826,2925
2021-01-07T10:19:53Z,00:48:49,5.27100917,8.0000625,113.5,2926,5.270993795752532,8.000063015456888,113.57529812065098,5.270993795752532,8.000063015456888,113.57529812065098,2926
2021-01-07T10:19:54Z,NA,NA,NA,NA,NA,NA,NA,NA,5.270986592307652,8.000062836238058,113.5825137019111,2927
2021-01-07T10:19:55Z,00:48:51,5.27099433,8.00006017,113.6,2928,5.2709794257387586,8.000062625165421,113.58806119728446,5.2709794257387586,8.000062625165421,113.58806119728446,2928
2021-01-07T10:19:56Z,NA,NA,NA,NA,NA,NA,NA,NA,5.2709723069654455,8.00006238124368,113.59189782301631,2929
2021-01-07T10:19:57Z,00:48:51,5.27099433,8.00006017,113.7,2930,5.270965246907325,8.000062103477559,113.59398079535251,5.270965246907325,8.000062103477559,113.59398079535251,2930
2021-01-07T10:19:58Z,NA,NA,NA,NA,NA,NA,NA,NA,5.270958256484015,8.000061790871765,113.59426733053827,2931
2021-01-07T10:19:59Z,00:48:56,5.27094917,8.00005933,113.6,2932,5.270951346615092,8.000061442430992,113.59271464481894,5.270951346615092,8.000061442430992,113.59271464481894,2932
2021-01-07T10:20:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.270944529320125,8.000061057285352,113.58924175292256,2933
2021-01-07T10:20:01Z,00:48:58,5.27093283,8.00005933,113.6,2934,5.270937823233809,8.00006063531882,113.58353792115199,5.270937823233809,8.00006063531882,113.58353792115199,2934
2021-01-07T10:20:02Z,NA,NA,NA,NA,NA,NA,NA,NA,5.2709312494521665,8.000060176695902,113.57520693293402,2935
2021-01-07T10:20:03Z,NA,5.270917,8.0000575,113.5,2936,5.270924829075331,8.000059681581561,113.56385242820053,5.270924829075331,8.000059681581561,113.56385242820053,2936
2021-01-07T10:20:04Z,NA,NA,NA,NA,NA,NA,NA,NA,5.270918583203456,8.000059150140803,113.54907804688317,2937
2021-01-07T10:20:05Z,00:49:02,5.27089917,8.00005683,113.5,2938,5.270912532936688,8.000058582538557,113.53048742891468,5.270912532936688,8.000058582538557,113.53048742891468,2938
2021-01-07T10:20:06Z,NA,NA,NA,NA,NA,NA,NA,NA,5.270906699375174,8.000057978939836,113.50768421422612,2939
